Timestamp,BMW_M47_RAIL_PRESSURE,BMW_M47_BOOST_PRESSURE,BMW_M47_CALCULATED_LOAD,BMW_RAIL_PRESSURE,BMW_BOOST_PRESSURE_GAUGE,BMW_MAF_GRAMS,BMW_TORQUE_ACTUAL
13:14:07,60,23,30,91,67,9,56
13:14:08,90,56,27,28,24,69,19
13:14:08,93,49,62,92,20,60,69
13:14:08,42,94,23,98,57,42,42
13:14:08,51,63,61,30,24,81,97
13:14:08,28,96,37,61,90,0,70
13:14:08,35,4,72,99,58,62,55
13:14:08,5,18,42,97,81,50,46
13:14:08,83,94,54,61,83,87,58
13:14:08,57,13,33,9,72,86,37
13:14:09,66,2,18,78,54,76,62
13:14:09,93,55,99,95,4,44,6
13:14:09,33,11,60,40,45,99,15
13:14:09,80,81,63,61,85,6,95
13:14:09,64,2,91,18,95,89,32
13:14:09,69,48,20,83,92,6,79
13:14:09,76,69,94,47,91,58,88
13:14:09,72,96,33,31,21,98,18
13:14:09,27,47,82,4,13,92,60
13:14:10,44,28,15,43,16,14,2
13:14:10,78,21,48,28,86,5,83
13:14:10,46,42,95,62,22,23,65
13:14:10,4,44,71,21,38,55,22
13:14:10,100,24,22,9,4,5,14
13:14:10,7,4,46,89,10,28,25
13:14:10,42,88,32,57,31,34,8
13:14:10,16,51,35,10,68,55,89
13:14:10,1,94,60,92,99,23,35
13:14:11,44,32,4,78,86,90,88
13:14:11,49,18,69,28,22,88,67
13:14:11,24,65,16,51,62,62,21
13:14:11,2,90,75,81,6,77,37
13:14:11,69,30,71,71,66,31,100
13:14:11,23,97,94,27,95,35,92
13:14:11,77,78,73,20,88,4,63
13:14:11,59,18,57,13,4,31,86
13:14:11,5,86,52,44,76,67,15
13:14:12,25,98,53,5,41,50,32
13:14:12,32,43,98,15,69,59,7
13:14:12,8,32,28,91,48,71,35
13:14:12,60,39,78,29,66,9,33
13:14:12,96,59,68,96,25,3,31
13:14:12,37,22,37,55,14,23,34
13:14:12,32,67,43,31,33,43,80
13:14:12,25,14,6,17,52,10,33
13:14:12,74,5,37,8,20,8,13
13:14:13,65,32,66,33,30,23,37
13:14:13,4,11,3,37,10,24,17
13:14:13,68,30,80,86,12,5,91
13:14:13,82,87,72,57,85,85,26
13:14:13,52,0,1,89,67,80,65
13:14:13,90,62,76,72,34,26,54
13:14:13,72,83,67,47,10,15,87
13:14:13,65,27,70,14,3,74,29
13:14:13,80,35,35,20,28,78,61
13:14:14,44,59,48,60,82,96,33
13:14:14,49,84,20,100,34,55,57
13:14:14,15,19,4,19,80,75,77
13:14:14,62,39,44,18,79,68,26
13:14:14,55,98,49,45,9,92,54
13:14:14,82,64,61,62,25,73,100
13:14:14,94,86,12,96,24,64,19
13:14:14,59,74,15,47,45,7,1
13:14:14,56,39,29,99,3,77,52
13:14:15,54,99,83,78,98,59,40
13:14:15,54,79,27,14,84,68,96
13:14:15,83,17,94,66,92,89,100
13:14:15,26,83,69,43,40,59,30
13:14:15,47,58,53,3,36,61,89
13:14:15,11,59,84,82,35,38,78
13:14:15,57,13,64,22,82,19,11
13:14:15,59,51,72,48,64,94,24
13:14:16,46,37,97,85,35,36,24
13:14:16,61,32,89,23,42,12,45
13:14:16,27,38,44,86,8,75,31
13:14:16,69,53,12,33,80,62,22
13:14:16,31,79,20,40,90,84,24
13:14:16,60,85,39,80,73,62,50
13:14:16,33,85,94,67,85,23,42
13:14:16,47,86,48,39,44,36,47
13:14:16,11,21,48,52,32,39,89
13:14:17,76,83,53,82,99,63,19
13:14:17,27,72,30,41,75,5,23
13:14:17,43,35,63,75,2,9,66
13:14:17,82,16,61,15,65,77,16
13:14:17,91,94,59,65,24,5,16
13:14:17,78,15,71,7,47,14,61
13:14:17,79,5,21,95,38,32,99
13:14:17,28,99,39,70,59,56,14
13:14:18,64,97,98,17,2,29,1
13:14:18,33,72,87,60,29,19,13
13:14:18,22,64,24,17,100,10,36
13:14:18,47,33,30,44,0,100,2
13:14:18,100,79,12,74,29,64,46
13:14:18,42,67,58,33,34,70,3
13:14:18,23,4,33,80,90,5,100
13:14:18,68,68,25,17,6,12,22
13:14:18,17,46,12,24,4,22,58
13:14:19,61,80,0,26,78,52,54
13:14:19,67,22,30,86,47,63,69
13:14:19,50,42,0,64,22,73,88
13:14:19,17,68,4,51,3,97,24
13:14:19,31,43,60,75,20,5,73
13:14:19,37,78,58,38,70,8,45
13:14:19,6,43,33,26,6,87,56
13:14:19,17,95,63,63,55,68,70
13:14:19,25,92,54,43,42,31,80
13:14:20,27,94,19,81,72,92,3
13:14:20,32,92,96,95,64,7,95
13:14:20,64,71,51,24,73,8,59
13:14:20,58,83,61,38,69,59,28
13:14:20,52,42,52,41,12,56,96
13:14:20,12,47,68,63,21,87,82
13:14:20,12,43,11,92,4,30,71
13:14:20,90,57,46,22,18,86,82
13:14:21,63,80,32,47,94,45,73
13:14:21,66,82,15,77,22,50,91
13:14:21,26,75,87,83,44,12,92
13:14:21,71,19,56,35,19,96,11
13:14:21,47,66,20,23,6,42,56
13:14:21,28,59,10,55,44,74,96
13:14:21,72,7,64,62,86,59,13
13:14:21,30,37,70,96,50,67,27
13:14:21,50,14,70,67,16,88,19
13:14:22,85,48,24,4,71,17,73
13:14:22,96,98,11,37,2,59,57
13:14:22,50,35,99,18,33,1,83
13:14:22,52,1,33,81,81,74,69
13:14:22,34,46,12,26,7,17,40
13:14:22,76,67,82,48,13,79,33
13:14:22,54,17,58,91,86,75,41
13:14:22,21,62,91,76,77,41,50
13:14:22,75,2,15,32,30,95,10
13:14:23,93,90,92,60,12,13,18
13:14:23,51,57,75,97,48,86,60
13:14:23,98,93,54,55,37,35,77
13:14:23,88,63,64,69,91,37,81
13:14:23,67,71,48,80,75,62,91
13:14:23,39,65,40,61,36,44,85
