Timestamp,VAG_DPF_SOOT_CALC,VAG_DPF_SOOT_MEAS,VAG_DPF_OIL_ASH,VAG_KILOMETERS_SINCE_REGEN,VAG_EXHAUST_TEMP_TURBO,VAG_EXHAUST_TEMP_DPF_IN,VAG_DIFFERENTIAL_PRESSURE,VAG_OIL_TEMP
11:05:42,,,,,,,,
11:05:42,,,,,,,,
11:05:42,56,,,,,,,
11:05:43,,88,,,,,,
11:05:43,,,43,,,,,
11:05:43,,,,2,,,,
11:05:43,,,,,93,,,
11:05:43,,,,,,75,,
11:05:43,,,,,,,90,
11:05:43,,,,,,,,66
11:05:43,,,,,,,,
11:05:43,,,,,,,,
11:05:43,52,,,,,,,
11:05:43,,79,,,,,,
11:05:43,,,31,,,,,
11:05:43,,,,45,,,,
11:05:43,,,,,30,,,
11:05:43,,,,,,21,,
11:05:43,,,,,,,88,
11:05:43,,,,,,,,86
11:05:44,,,,,,,,
11:05:44,,,,,,,,
11:05:44,67,,,,,,,
11:05:44,,21,,,,,,
11:05:44,,,10,,,,,
11:05:44,,,,14,,,,
11:05:44,,,,,60,,,
11:05:44,,,,,,61,,
11:05:44,,,,,,,99,
11:05:44,,,,,,,,73
11:05:44,,,,,,,,
11:05:44,,,,,,,,
11:05:44,45,,,,,,,
11:05:44,,79,,,,,,
11:05:44,,,23,,,,,
11:05:44,,,,98,,,,
11:05:44,,,,,17,,,
11:05:45,,,,,,53,,
11:05:45,,,,,,,88,
11:05:45,,,,,,,,32
11:05:45,,,,,,,,
11:05:45,,,,,,,,
11:05:45,66,,,,,,,
11:05:45,,36,,,,,,
11:05:45,,,26,,,,,
11:05:45,,,,94,,,,
11:05:45,,,,,38,,,
11:05:45,,,,,,46,,
11:05:45,,,,,,,77,
11:05:45,,,,,,,,22
11:05:45,,,,,,,,
11:05:45,,,,,,,,
11:05:45,94,,,,,,,
11:05:45,,67,,,,,,
11:05:46,,,18,,,,,
11:05:46,,,,88,,,,
11:05:46,,,,,66,,,
11:05:46,,,,,,29,,
11:05:46,,,,,,,25,
11:05:46,,,,,,,,91
11:05:46,,,,,,,,
11:05:46,,,,,,,,
11:05:46,29,,,,,,,
11:05:46,,7,,,,,,
11:05:46,,,75,,,,,
11:05:46,,,,53,,,,
11:05:46,,,,,34,,,
11:05:46,,,,,,71,,
11:05:46,,,,,,,66,
11:05:46,,,,,,,,63
11:05:46,,,,,,,,
11:05:46,,,,,,,,
11:05:47,83,,,,,,,
11:05:47,,88,,,,,,
11:05:47,,,46,,,,,
11:05:47,,,,21,,,,
11:05:47,,,,,26,,,
11:05:47,,,,,,68,,
11:05:47,,,,,,,62,
11:05:47,,,,,,,,6
11:05:47,,,,,,,,
11:05:47,,,,,,,,
11:05:47,49,,,,,,,
11:05:47,,96,,,,,,
11:05:47,,,91,,,,,
11:05:47,,,,37,,,,
11:05:47,,,,,74,,,
11:05:47,,,,,,65,,
11:05:48,,,,,,,25,
11:05:48,,,,,,,,72
11:05:48,,,,,,,,
11:05:48,,,,,,,,
11:05:48,70,,,,,,,
11:05:48,,40,,,,,,
11:05:48,,,16,,,,,
11:05:48,,,,25,,,,
11:05:48,,,,,41,,,
11:05:48,,,,,,71,,
11:05:48,,,,,,,21,
11:05:48,,,,,,,,36
11:05:48,,,,,,,,
11:05:48,,,,,,,,
11:05:48,82,,,,,,,
11:05:48,,98,,,,,,
11:05:48,,,67,,,,,
11:05:48,,,,16,,,,
11:05:49,,,,,87,,,
11:05:49,,,,,,53,,
11:05:49,,,,,,,49,
11:05:49,,,,,,,,33
11:05:49,,,,,,,,
11:05:49,,,,,,,,
11:05:49,64,,,,,,,
11:05:49,,16,,,,,,
11:05:49,,,29,,,,,
11:05:49,,,,94,,,,
11:05:49,,,,,78,,,
11:05:49,,,,,,12,,
11:05:49,,,,,,,6,
11:05:49,,,,,,,,2
11:05:49,,,,,,,,
11:05:49,,,,,,,,
11:05:49,26,,,,,,,
11:05:49,,20,,,,,,
11:05:50,,,59,,,,,
11:05:50,,,,72,,,,
11:05:50,,,,,34,,,
11:05:50,,,,,,43,,
11:05:50,,,,,,,44,
11:05:50,,,,,,,,47
11:05:50,,,,,,,,
11:05:50,,,,,,,,
11:05:50,34,,,,,,,
11:05:50,,49,,,,,,
11:05:50,,,48,,,,,
11:05:50,,,,3,,,,
11:05:50,,,,,22,,,
11:05:50,,,,,,66,,
11:05:50,,,,,,,14,
11:05:50,,,,,,,,94
11:05:50,,,,,,,,
11:05:50,,,,,,,,
11:05:51,56,,,,,,,
11:05:51,,97,,,,,,
11:05:51,,,79,,,,,
11:05:51,,,,58,,,,
11:05:51,,,,,27,,,
11:05:51,,,,,,28,,
11:05:51,,,,,,,3,
11:05:51,,,,,,,,10
11:05:51,,,,,,,,
11:05:51,,,,,,,,
11:05:51,86,,,,,,,
